Petroleum Products ,2011-12 (MMTPA) ,2012-13 (MMTPA) ,2013-14 (MMTPA) ,2014-15 (MMTPA) ,2015-16 (MMTPA) ,2016-17 (MMTPA) 
LPG,15300,16986,18363,19675,20857,21831
MS,14993,16091,17527,19083,20766,22588
NAPHTHA/NGL,11105,12353,11417,11417,11022,11022
ATF,5396,6009,6587,7202,7849,8540
SKO,8229,7949,7631,7326,7033,6751
HSDO,64742,65040,68654,72589,76904,81599
LDO,415,400,400,400,400,400
LUBES,2745,2691,2772,2857,2945,3036
FO/LSHS,9232,7954,7902,7899,7872,7872
BITUMEN,4628,5254,5541,5732,5971,6114
PET COKE,6145,6765,7514,8345,9268,10294
OTHERS,4869,5445,6127,6109,6085,6162
